,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1000,99.24698,-0.46355,-96.68109,-1.25631,199.30889,-140.94793,Beach,1.07024,-0.47506,11.23413,2.57510,True,447.89434
1001,100.69112,-0.76481,-97.75936,-1.28079,200.76051,-148.57147,Casahouse,0.06501,-0.22026,9.38919,1.15893,True,454.57590
1002,100.45979,-0.18150,-96.72271,-1.27106,200.52695,-145.68474,Casahouse,0.75997,0.35594,11.35137,3.73002,True,453.93761
1003,99.61802,-0.72028,-95.77843,-1.25958,199.68197,-140.95782,Beach,0.24756,0.10611,12.20488,-1.58528,True,450.20090
1004,98.75375,0.11960,-100.78892,-1.29145,198.82468,-146.90710,Horses,1.92500,0.51205,10.08860,-4.60008,True,443.37427
1005,98.62371,-0.94167,-96.73921,-1.27953,198.69311,-146.58562,Horses,1.57612,2.44422,11.24156,3.60368,True,444.74897
1006,99.41901,-0.20648,-95.47417,-1.29373,199.49167,-147.46943,Beach,-0.68236,-1.02021,10.97332,3.03282,True,449.35795
1007,100.53766,1.80465,-98.27060,-1.29489,200.60860,-151.45175,Casahouse,2.55777,0.78779,13.13111,-0.30568,True,453.55297
1008,99.57648,-0.29038,-104.30097,-1.29145,199.64697,-147.90773,Beach,-2.89422,-0.04081,13.01255,-3.94888,True,445.73192
1009,98.38741,0.13389,-97.34137,-1.26866,198.45235,-141.88082,Horses,-0.30307,-1.58033,9.73953,-1.73445,True,443.26636
1010,98.64550,-0.42344,-98.01578,-1.22714,198.70004,-133.62315,Horses,-0.65277,0.53815,11.50305,1.02486,True,444.21963
1011,100.69638,0.38931,-103.35591,-1.29674,200.76807,-147.68273,Casahouse,0.84911,0.76232,11.83153,-1.07577,True,451.80395
1012,98.88263,-0.00289,-100.06256,-1.30451,198.95732,-148.25221,Horses,0.53870,-0.43846,12.96789,4.01038,True,444.38189
1013,100.00765,-0.43890,-100.17215,-1.25968,200.07162,-140.78158,Casahouse,-2.46832,-0.11826,11.19714,0.12973,True,449.95218
1014,101.38240,0.31325,-104.70820,-1.27242,201.44745,-145.53061,Mojodojo,0.36161,-0.46125,12.74763,0.85472,True,454.55788
1015,100.10370,-0.99332,-100.98914,-1.25862,200.16688,-141.31441,Casahouse,-0.52685,0.05985,12.00098,1.62637,True,450.02395
1016,100.87783,0.28807,-104.80902,-1.25504,200.93885,-143.06346,Casahouse,2.82795,-3.65158,13.42210,0.18855,True,451.98464
1017,99.56007,0.97750,-101.03610,-1.24391,199.61766,-136.64328,Beach,1.73019,-2.91687,11.07065,-4.26586,True,447.28230
1018,100.44048,1.11800,-101.23698,-1.28166,200.50836,-148.00970,Casahouse,-0.13154,0.72997,10.39037,-1.20206,True,451.58393
1019,99.68597,-1.47760,-101.46482,-1.25650,199.74906,-140.65016,Beach,-0.30027,2.32685,11.70089,-1.12486,True,447.69744
1020,100.40086,-0.64360,-101.24652,-1.28058,200.46910,-146.51235,Casahouse,-0.07798,0.99616,11.23943,0.86017,True,451.38102
1021,101.95304,1.84615,-105.66375,-1.30584,202.02925,-153.49745,Mojodojo,1.00619,0.13944,11.41784,-1.33537,True,456.93334
1022,99.85735,0.14329,-91.64434,-1.27909,199.92502,-146.38206,Beach,-0.77114,2.38464,12.56011,-1.86772,True,453.46457
1023,99.31819,0.63745,-99.93848,-1.26019,199.38085,-140.38685,Beach,0.65599,-1.12273,10.06273,-1.51506,True,446.62170
1024,99.40127,-0.06433,-96.30236,-1.29123,199.47219,-148.27601,Beach,-0.74399,3.17117,11.82577,-5.86824,True,448.85515
1025,99.55142,0.13581,-98.38454,-1.28489,199.62188,-146.35803,Beach,-0.41908,-0.29643,10.87563,2.52894,True,448.56481
1026,100.38238,-0.23169,-105.09885,-1.25722,200.44524,-141.34752,Casahouse,-0.55876,0.76809,10.34156,3.65054,True,449.36249
1027,100.23126,1.10605,-100.46221,-1.24386,200.29089,-139.72049,Casahouse,-0.69605,0.82211,10.39981,3.13238,True,450.92521
1028,99.77329,-0.20980,-98.01065,-1.22161,199.82735,-136.10105,Beach,0.02202,1.45869,12.78324,2.98692,True,449.86112
1029,98.24549,-0.89299,-100.13591,-1.25214,198.30740,-137.75287,Horses,-0.46150,-0.63927,12.00290,2.18524,True,441.15951
1030,101.70955,0.70675,-102.69668,-1.26593,201.77343,-145.87131,Mojodojo,1.84425,-1.49057,15.03931,-3.00339,True,457.19941
1031,100.62020,-0.14900,-106.34646,-1.27745,200.68681,-146.87096,Casahouse,-1.62806,1.47800,9.87280,0.36250,True,449.92776
1032,100.41336,0.52948,-99.95149,-1.27060,200.47837,-146.01338,Casahouse,-0.00718,0.05008,10.01798,-0.98133,True,452.09107
1033,98.78320,0.04830,-98.08978,-1.28225,198.85105,-144.84432,Horses,-0.19742,-0.44127,12.42107,-0.97050,True,444.87111
1034,100.12377,-0.92788,-97.89230,-1.26926,200.18862,-144.82918,Casahouse,0.54436,-2.37662,12.20561,0.13992,True,451.67272
1035,99.48377,-1.16279,-95.42341,-1.26247,199.54661,-143.87718,Beach,-0.92425,1.91295,10.35311,-2.63621,True,449.70714
1036,100.20719,-0.08768,-97.00711,-1.27062,200.27413,-145.91411,Casahouse,-0.22159,-0.78768,11.41341,2.06953,True,452.53241
1037,99.74954,0.69106,-101.19928,-1.25944,199.81251,-140.25787,Beach,-0.01723,-0.09582,11.91380,3.00796,True,448.14807
1038,99.69865,0.30246,-98.89372,-1.26918,199.76310,-145.86710,Beach,1.98941,-1.87840,10.30335,-2.67443,True,449.04640
1039,98.50205,-0.67433,-92.65219,-1.26251,198.56572,-141.16506,Horses,-2.09670,-3.80931,13.67595,-1.94895,True,446.18417
1040,99.27022,0.04212,-97.34979,-1.28795,199.33953,-148.18856,Beach,-0.67977,-1.57115,11.72516,0.66560,True,447.67623
1041,99.93449,-1.07786,-100.37920,-1.27675,200.00132,-144.17417,Beach,-1.69958,2.20980,10.20885,-1.90513,True,449.48283
1042,99.58328,-0.49990,-97.94838,-1.28622,199.65241,-149.39385,Beach,1.22102,-0.69467,9.69572,-3.31584,True,448.94221
1043,100.17055,-2.12519,-97.41502,-1.30635,200.24590,-152.33051,Casahouse,-0.54351,0.91129,12.06117,-1.95231,True,452.14524
1044,99.45369,-0.15845,-95.00744,-1.28766,199.52313,-146.21827,Beach,0.60555,2.58929,9.65351,-4.91285,True,449.76474
1045,98.85328,-1.16770,-96.56338,-1.29199,198.92389,-147.22053,Horses,1.67147,0.30328,10.45765,-0.33615,True,445.98470
1046,99.21657,-0.56421,-98.84510,-1.27981,199.28427,-148.66276,Beach,-0.43523,-0.96545,12.37730,-1.49190,True,446.66030
1047,101.44803,1.08698,-101.10387,-1.28779,201.51791,-152.09346,Mojodojo,-0.36145,0.34938,9.53521,-2.53034,True,456.68819
1048,99.92758,1.09554,-95.25471,-1.27820,199.99438,-146.41338,Beach,-1.19143,0.12117,11.52090,-2.73122,True,452.01056
1049,99.11669,0.09580,-96.63416,-1.30098,199.19073,-146.86407,Beach,-0.13801,-0.75700,10.07688,3.78508,True,447.26639
1050,99.27011,-0.08330,-98.36998,-1.28267,199.33980,-145.09257,Beach,0.64667,-1.20605,9.53366,3.02607,True,447.16557
1051,100.45554,-0.03561,-98.22082,-1.27470,200.52278,-146.88859,Casahouse,0.50178,0.30284,6.74025,2.59526,True,453.16730
1052,100.54767,-0.29378,-100.33814,-1.28598,200.61624,-147.42413,Casahouse,-0.10010,1.72433,12.77827,1.03556,True,452.56926
1053,99.30309,0.39601,-98.67864,-1.24675,199.36172,-140.34926,Beach,1.51292,-1.40725,11.74681,-0.46188,True,447.17612
1054,100.66346,-0.94923,-98.42196,-1.30826,200.74007,-154.81211,Casahouse,-1.20912,0.25588,12.56254,0.39091,True,454.10632
1055,99.41302,-0.60435,-101.86207,-1.26457,199.47644,-144.20005,Beach,-0.66121,1.12413,12.15258,-3.08283,True,446.13408
1056,99.47576,-0.00607,-93.62190,-1.22398,199.52973,-133.73148,Beach,0.62138,1.21240,10.32968,0.10866,True,450.56783
1057,99.65643,1.10819,-103.00893,-1.27750,199.72414,-146.27467,Beach,-0.98591,1.20213,10.26479,-3.05561,True,446.77768
1058,98.01285,-1.62600,-95.39722,-1.27035,198.07758,-141.87221,Horses,1.30158,-0.06402,11.73347,-3.86545,True,442.36563
1059,98.58855,1.18701,-96.57674,-1.25941,198.65210,-140.90554,Horses,0.74891,0.44322,9.50782,2.25356,True,444.65438
1060,99.69759,-0.59145,-103.70412,-1.29100,199.76826,-148.83181,Beach,-3.58983,2.64654,11.75542,-1.29414,True,446.63591
1061,101.25697,-0.11350,-98.96432,-1.29003,201.32855,-149.94919,Mojodojo,-1.07058,-0.23856,10.70007,3.71012,True,456.80267
1062,99.71047,0.34197,-99.17561,-1.30497,199.78593,-150.71781,Beach,-0.68781,-0.86083,9.24500,1.99357,True,448.96453
1063,100.29412,0.30078,-103.19252,-1.25253,200.35427,-140.53898,Casahouse,-2.51153,-0.98947,12.41609,-2.76110,True,449.87436
1064,100.62918,0.93481,-99.53928,-1.27203,200.69401,-143.87624,Casahouse,-0.74485,-3.78765,13.13370,-0.52714,True,453.37627
1065,101.07803,-0.42027,-98.90444,-1.29631,201.14898,-154.26328,Mojodojo,-0.96705,-1.43811,10.73056,-1.89709,True,455.93791
1066,100.48096,1.54715,-101.23097,-1.26701,200.54565,-142.74511,Casahouse,-0.42141,-0.00085,10.00308,1.63895,True,451.78933
1067,98.53413,0.06867,-98.27253,-1.25040,198.59499,-138.05368,Horses,-0.82187,-0.94776,10.16917,-0.64828,True,443.53440
1068,99.09603,-1.09451,-98.95679,-1.28670,199.16531,-146.27769,Beach,-0.11768,0.10933,11.68365,-1.23260,True,446.00177
1069,100.43301,0.47198,-100.66012,-1.28203,200.50132,-148.53697,Casahouse,-1.80409,0.44911,11.55527,-4.51678,True,451.83500
1070,99.50575,-0.61715,-96.53733,-1.28597,199.57545,-146.96029,Beach,-2.92285,0.75317,11.03080,-0.43695,True,449.26009
1071,100.35390,1.21145,-101.10680,-1.26797,200.41811,-146.24968,Casahouse,0.77622,-0.67727,9.50415,-2.67006,True,451.21608
1072,99.45726,0.54434,-94.05463,-1.28667,199.52699,-144.82468,Beach,-0.21944,0.01516,12.24339,-0.10259,True,450.25901
1073,100.04688,-0.18223,-100.07035,-1.28568,200.11687,-146.36053,Casahouse,0.01770,0.85761,11.26984,3.87276,True,450.19922
1074,100.85352,0.52002,-98.36909,-1.27092,200.91860,-144.90885,Casahouse,0.74343,0.12854,11.09082,0.25481,True,455.08307
1075,100.21743,0.60916,-101.19237,-1.27491,200.28457,-143.83317,Casahouse,1.43955,0.49553,10.57039,0.08124,True,450.49097
1076,101.29965,1.19152,-98.64098,-1.29295,201.36985,-150.32404,Mojodojo,0.10771,0.05979,10.10013,-1.46039,True,457.17777
1077,99.68949,-0.91399,-103.35210,-1.25023,199.75058,-137.29788,Beach,0.10651,-0.68882,10.00640,-1.07790,True,446.77137
1078,99.85710,0.64760,-101.26666,-1.28225,199.92521,-145.38794,Beach,1.09040,1.43110,11.19843,-0.31348,True,448.65218
1079,99.81159,0.06438,-100.27308,-1.24846,199.87134,-139.01090,Beach,0.47653,0.14593,13.18568,1.17866,True,448.92143
1080,99.93041,0.20154,-101.56230,-1.28125,200.00044,-145.23440,Beach,0.60215,-0.01887,11.65633,1.32168,True,448.87092
1081,101.64635,1.15790,-100.83665,-1.27691,201.71252,-149.56688,Mojodojo,-2.35331,-0.91347,12.96834,0.27127,True,457.81340
1082,99.60897,0.00478,-101.95625,-1.29628,199.68004,-145.74932,Beach,-0.42452,-1.62429,10.29909,2.12905,True,447.06673
1083,101.89017,0.38649,-98.32765,-1.31172,201.96682,-156.64896,Mojodojo,-0.38189,0.16645,10.34302,0.44165,True,460.28700
1084,100.59832,-0.18425,-102.77779,-1.30507,200.67374,-152.81083,Casahouse,-0.75374,-0.38400,11.99972,-0.15954,True,451.60270
1085,100.85088,0.43322,-104.72187,-1.24032,200.90786,-137.38255,Casahouse,-0.65732,0.58204,8.43961,-3.58981,True,451.89346
1086,102.07361,0.56904,-99.78753,-1.28359,202.14190,-151.08507,Sublime,-2.22728,0.35456,7.62948,-1.80692,True,460.47431
1087,98.28540,-0.54411,-92.82661,-1.27500,198.35084,-143.04205,Horses,2.68923,2.50233,12.29838,-1.29212,True,445.01369
1088,101.33302,-0.98902,-100.48684,-1.23675,201.39034,-137.87655,Mojodojo,0.44633,-0.19953,11.76049,-3.85969,True,456.42167
1089,100.74455,1.89034,-101.30868,-1.24221,200.80329,-139.43277,Casahouse,0.50825,0.66483,10.51608,3.42151,True,453.06843
1090,100.46210,0.50987,-98.29023,-1.27560,200.52867,-145.52746,Casahouse,-2.85497,1.99088,10.52613,-3.53256,True,453.16539
1091,99.95590,-0.41145,-102.00915,-1.28129,200.02366,-144.36557,Beach,1.24463,-0.76224,10.26339,-1.40066,True,448.77493
1092,100.06666,-0.47088,-95.68904,-1.28374,200.13560,-150.26053,Casahouse,0.08840,-0.39461,10.02091,-1.42473,True,452.48876
1093,99.96924,0.61117,-105.09002,-1.27109,200.03458,-144.17249,Beach,-1.87651,0.61458,10.11954,-1.50073,True,447.30119
1094,99.87855,-0.48533,-97.38857,-1.28299,199.94761,-145.22283,Beach,0.50610,3.04211,14.50280,-0.18236,True,450.69846
1095,100.34763,0.06562,-95.93016,-1.27630,200.41425,-146.47511,Casahouse,2.94163,-2.64521,10.82953,-2.13218,True,453.77306
1096,99.76268,-0.24752,-103.28891,-1.27009,199.82823,-141.94450,Beach,-0.16434,-2.82609,8.82575,1.82568,True,447.16895
1097,99.36121,0.55937,-97.89398,-1.28609,199.43028,-148.48416,Beach,0.97499,0.46970,9.99637,-2.36542,True,447.85906
1098,101.35594,-0.01151,-98.91249,-1.29282,201.42802,-152.07976,Mojodojo,-0.75644,-0.34420,11.94844,3.16368,True,457.32345
1099,100.43582,-0.37989,-96.61602,-1.28200,200.50553,-147.76261,Casahouse,0.16931,0.98049,10.83849,4.22692,True,453.87110
1100,98.64896,-0.06413,-100.07962,-1.28652,198.71806,-145.93887,Horses,-0.43930,1.06404,10.45166,-2.24604,True,443.20500
1101,100.33453,0.04609,-95.33110,-1.29067,200.40445,-146.50151,Casahouse,-1.15534,-0.00747,11.42349,-1.82511,True,454.00712
1102,101.43332,-0.45860,-96.86697,-1.26959,201.49819,-143.63579,Mojodojo,1.05589,-0.87159,12.47914,-1.07918,True,458.73310
1103,99.00734,0.84561,-99.30077,-1.28842,199.07740,-151.18002,Horses,2.67431,-2.77483,9.88037,-2.67403,True,445.38631
1104,101.44773,0.13938,-100.94174,-1.23644,201.50353,-138.94655,Mojodojo,-0.11197,-0.34902,9.95032,-0.11601,True,456.76778
1105,99.25180,-1.03940,-97.31583,-1.25711,199.31425,-140.21246,Beach,0.70960,-0.01202,10.53605,-2.06984,True,447.60108
1106,100.46903,-0.94162,-102.89949,-1.25017,200.53053,-140.08697,Casahouse,-0.85800,2.19901,11.66050,1.00346,True,450.89542
1107,100.59002,0.06257,-101.90828,-1.26279,200.65440,-142.82646,Casahouse,-0.06369,-0.16296,11.19243,-2.17495,True,451.99594
1108,101.00898,1.63160,-97.34853,-1.27240,201.07572,-145.21853,Mojodojo,0.22720,0.87979,12.40878,-0.94621,True,456.37064
1109,101.01983,0.07940,-103.72891,-1.26597,201.08551,-146.09248,Mojodojo,-1.16453,0.06989,10.98737,1.87552,True,453.23469
1110,100.57234,0.46337,-104.03039,-1.27843,200.64069,-147.46527,Casahouse,-2.56383,-0.79073,12.70052,-1.96436,True,450.84653
1111,100.21796,1.20206,-98.76301,-1.27727,200.28503,-146.47970,Casahouse,-0.99373,0.16791,10.11987,0.02124,True,451.70829
1112,99.24683,-0.26906,-100.93763,-1.23584,199.30231,-134.44076,Beach,-1.06293,0.35943,10.11829,-0.58840,True,445.76533
1113,99.89623,1.58582,-102.22861,-1.25467,199.95749,-142.86311,Beach,0.20207,1.53680,11.19706,3.17710,True,448.36687
1114,102.09458,0.43546,-94.94341,-1.24904,202.15540,-143.20760,Sublime,-1.05660,0.70059,12.09925,1.68800,True,463.00119
1115,99.79966,-0.76697,-100.21675,-1.30222,199.87554,-151.48979,Beach,0.12772,1.09027,9.45280,2.08227,True,448.88991
1116,99.04597,-0.30656,-97.93481,-1.24962,199.10520,-136.70368,Beach,2.36051,-1.32802,10.51209,-0.50334,True,446.26247
1117,99.30458,-0.34367,-101.45023,-1.28654,199.37471,-146.58311,Beach,0.66662,0.97172,10.93234,-1.51447,True,445.79779
1118,99.90407,0.41508,-97.20452,-1.25292,199.96607,-140.47686,Beach,1.19681,-0.81105,12.64824,-3.22893,True,450.91809
1119,100.15393,0.06560,-101.95989,-1.27367,200.21977,-146.89495,Casahouse,2.18218,0.14105,10.28064,-2.48458,True,449.78970
1120,100.17108,-0.81078,-97.35055,-1.28184,200.23823,-145.95335,Casahouse,-0.36413,-0.44075,12.29220,0.21950,True,452.18012
1121,100.61449,-0.31919,-103.18852,-1.23998,200.67125,-139.29685,Casahouse,0.21059,-0.33890,11.42024,-2.45142,True,451.47817
1122,101.84365,-0.30354,-95.71659,-1.27433,201.90958,-148.54660,Mojodojo,3.58978,-0.96240,12.82365,0.97451,True,461.35997
1123,100.75760,-0.91582,-98.35637,-1.29293,200.82979,-151.71524,Casahouse,0.69573,0.30483,11.66920,1.24277,True,454.60983
1124,98.76751,0.05647,-94.30876,-1.26495,198.83322,-140.09307,Horses,-0.10641,0.63836,10.68042,-0.08730,True,446.68316
1125,101.27492,0.40813,-97.36308,-1.26884,201.33981,-147.29463,Mojodojo,-1.30326,-1.62502,9.68339,-0.21287,True,457.69306
1126,101.16704,-0.11991,-101.60448,-1.27310,201.23309,-148.08732,Mojodojo,-0.80007,-0.54871,7.39330,0.07908,True,455.03296
1127,99.19543,-0.12417,-91.42259,-1.23944,199.25197,-138.48640,Beach,-0.41249,-0.57050,11.68435,-0.63667,True,450.26587
1128,100.35712,0.08607,-101.00068,-1.24388,200.41589,-137.84745,Casahouse,-0.10474,0.67763,13.75435,1.28689,True,451.28525
1129,100.72590,0.65653,-100.62917,-1.29697,200.79966,-150.66241,Casahouse,1.91910,0.82272,11.86519,2.15504,True,453.31491
1130,100.62764,-0.62091,-100.15012,-1.23896,200.68409,-139.07936,Casahouse,0.64657,0.07277,10.58529,-1.03060,True,453.06314
