,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,Allan,99.12807,-0.23827,-99.18350,-1.25286,199.18948,-138.43341,Beach,-1.35039,0.84187,9.90459,1.71861,True,446.04860
1,Barbie,98.89017,-0.75339,-101.87005,-1.28567,198.95956,-143.84561,Horses,0.11728,-0.20714,9.75938,-1.19782,True,443.51583
2,Allan,99.82120,0.84490,-99.44376,-1.28067,199.89075,-146.86712,Beach,-0.05036,-0.24721,13.83337,3.54015,True,449.38413
3,Ken,99.30343,-0.63459,-99.05639,-1.28568,199.37161,-148.10247,Beach,-0.08433,0.83271,9.70324,3.03869,True,446.98894
4,Barbie,101.20987,0.57183,-97.35634,-1.24798,201.26858,-141.67514,Mojodojo,1.46646,0.32269,10.75488,-3.12135,True,457.37120
5,Allan,100.22910,-1.33565,-97.53687,-1.23641,200.28644,-138.53506,Casahouse,1.04797,0.76550,10.65163,3.92709,True,452.37707
6,Barbie,100.37361,-0.28776,-103.30550,-1.25728,200.43499,-139.72499,Casahouse,-0.22357,0.56814,10.01513,-2.05460,True,450.21530
7,Barbie,100.18316,1.14394,-104.24701,-1.24643,200.24158,-138.55024,Casahouse,2.40569,-4.73502,11.93431,-2.47931,True,448.79232
8,Allan,100.25104,0.63972,-102.36251,-1.23918,200.30856,-139.50610,Casahouse,0.87740,1.69456,12.30140,4.08384,True,450.07392
9,Allan,101.19466,-0.35242,-98.98566,-1.27561,201.26238,-145.47385,Mojodojo,0.22932,0.46138,11.68416,-2.21501,True,456.48048
10,Barbie,100.18913,0.44373,-99.74327,-1.25152,200.24909,-141.87363,Casahouse,-0.65033,0.26994,11.97181,-5.48531,True,451.07402
11,Allan,100.83881,-0.03350,-95.81688,-1.29537,200.91099,-151.33479,Casahouse,0.41683,-1.73785,10.47959,1.12810,True,456.28560
12,Ken,100.06154,-0.41585,-98.58300,-1.26996,200.12748,-143.84385,Casahouse,0.61331,-1.09279,10.91397,-0.81690,True,451.01619
13,Barbie,101.39324,0.37936,-95.60307,-1.26590,201.45691,-143.17614,Mojodojo,-0.58489,1.55423,9.82224,-0.95815,True,459.16468
14,Barbie,100.65604,0.24799,-100.66272,-1.26091,200.71851,-143.24833,Casahouse,-1.62370,1.59762,10.32973,-0.55797,True,452.94885
15,Ken,100.14679,0.43982,-96.97175,-1.26900,200.21197,-144.56052,Casahouse,-2.93767,-1.32122,11.64006,-1.08079,True,452.24809
16,Barbie,98.00029,-0.03296,-98.25501,-1.28772,198.07007,-144.52736,Horses,0.30732,-1.30340,10.82533,-4.12306,True,440.87392
17,Barbie,99.90545,0.75867,-96.65773,-1.28633,199.97487,-148.17027,Beach,1.66519,-2.49757,11.59168,-3.97458,True,451.19839
18,Barbie,100.56408,0.05909,-102.02694,-1.26523,200.62792,-145.45913,Casahouse,0.41407,0.29286,11.03243,-2.01592,True,451.80693
19,Ken,99.06856,0.06424,-92.96124,-1.27177,199.13398,-141.17577,Beach,0.33501,-0.95176,11.78110,-0.16644,True,448.86218
20,Ken,100.87956,-0.60977,-104.16565,-1.26802,200.94480,-142.69363,Casahouse,0.60768,2.57879,11.40639,-0.67298,True,452.31499
21,Barbie,99.26341,-0.27352,-101.84825,-1.23527,199.31902,-136.02553,Beach,2.43647,-1.06909,10.27216,-4.09304,True,445.39290
22,Allan,99.13630,0.55842,-97.51393,-1.23842,199.19456,-136.17022,Beach,0.27472,1.33339,10.97029,4.55050,True,446.92451
23,Allan,99.88777,-0.39333,-105.53402,-1.25011,199.94917,-139.72251,Beach,0.48017,-0.27845,11.11945,2.20991,True,446.67185
24,Ken,99.56638,0.09491,-99.65290,-1.29044,199.63697,-146.60449,Beach,0.78904,0.43065,11.97583,-1.44462,True,448.00543
25,Ken,99.53100,0.23716,-97.17710,-1.26849,199.59623,-143.95566,Beach,0.27518,1.37587,7.95373,3.12138,True,449.06647
26,Barbie,99.18596,1.25104,-99.74367,-1.25417,199.24670,-140.50186,Beach,1.35325,0.98900,11.58902,-1.56717,True,446.05796
27,Barbie,100.39689,-1.34486,-100.01963,-1.28019,200.46458,-148.29539,Casahouse,1.64773,-2.34826,9.86777,-1.48417,True,451.97464
28,Barbie,99.91651,-0.04734,-99.25077,-1.23635,199.97266,-139.08436,Beach,0.00257,0.73940,11.73042,-0.75124,True,449.95717
29,Ken,99.43291,-0.00787,-101.99154,-1.25689,199.49548,-137.90966,Beach,-2.23471,-0.46916,9.89223,-0.19602,True,446.16879
30,Barbie,100.23349,-0.04114,-98.75021,-1.25642,200.29474,-141.84959,Casahouse,-0.45772,-2.00052,7.92852,-3.53008,True,451.79234
31,Barbie,99.68164,0.35924,-105.49468,-1.25244,199.74206,-139.93476,Beach,-1.93660,0.40464,11.79433,-2.44989,True,445.66086
32,Allan,98.74318,-0.55568,-102.36646,-1.25157,198.80427,-136.32410,Horses,1.05640,0.69223,11.45399,0.57622,True,442.53268
33,Barbie,100.28477,0.81491,-98.90178,-1.28787,200.35462,-146.73706,Casahouse,2.53175,-1.01089,10.21357,-0.15564,True,451.97296
34,Allan,100.37947,0.15847,-98.12298,-1.26239,200.44457,-142.66144,Casahouse,1.23733,-1.23123,8.32990,-0.41285,True,452.83585
35,Ken,100.93209,-0.78484,-103.32471,-1.25994,200.99509,-140.99129,Casahouse,0.58867,1.16123,13.13816,-0.64792,True,452.99811
36,Barbie,101.72543,-0.38012,-108.22591,-1.26727,201.78972,-147.28773,Mojodojo,2.18040,-2.77822,9.83255,-0.30816,True,454.51421
37,Barbie,101.10039,0.92167,-101.60147,-1.28154,201.16839,-150.04800,Mojodojo,-1.43007,1.62083,10.28843,-0.34398,True,454.70122
38,Allan,101.35934,0.25905,-103.30969,-1.22695,201.41467,-136.32113,Mojodojo,0.07623,-0.91111,9.38518,0.74546,True,455.14186
39,Barbie,97.94726,-0.22764,-92.59007,-1.23487,198.00261,-134.53009,Horses,-1.65080,0.46133,10.09795,-1.70277,True,443.44126
40,Allan,98.57308,-1.19635,-93.35295,-1.31197,198.65007,-150.88613,Horses,-0.13301,-0.38971,8.86584,1.33153,True,446.18894
41,Allan,99.72505,-0.12772,-95.65954,-1.25251,199.78693,-139.78880,Beach,-0.13553,-0.61413,12.39682,-0.11372,True,450.79546
42,Barbie,99.12957,-0.90749,-94.05973,-1.24882,199.18915,-138.94844,Beach,0.64063,-2.49253,12.37174,-3.08004,True,448.61796
43,Allan,99.82697,-0.29918,-98.53767,-1.28744,199.89858,-149.58111,Beach,1.64961,0.04648,9.46392,0.61350,True,449.86603
44,Barbie,98.88965,0.17827,-97.36876,-1.28916,198.95943,-145.35313,Horses,0.65131,-0.23777,10.47035,-1.37052,True,445.76387
45,Barbie,99.11163,-1.78997,-94.30358,-1.24540,199.16998,-140.07832,Beach,1.40554,-0.00092,12.13036,-1.64250,True,448.40634
46,Barbie,101.40486,-0.45850,-100.39189,-1.25587,201.46568,-143.09386,Mojodojo,2.28135,-0.89983,11.59385,-2.60621,True,456.82833
47,Barbie,100.70172,-0.08296,-101.27498,-1.24572,200.75986,-142.64938,Casahouse,0.51486,-0.16239,12.60856,-2.17613,True,452.87109
48,Allan,99.65752,-0.18016,-104.73217,-1.30388,199.73262,-152.48207,Beach,0.12250,0.03086,11.36989,2.73037,True,445.92153
49,Ken,98.84563,0.88582,-100.82180,-1.26063,198.90898,-142.33780,Horses,-0.05180,-1.13213,10.54674,-0.39584,True,443.81727
50,Barbie,100.45142,0.68190,-101.85335,-1.23632,200.50727,-136.94571,Casahouse,0.55868,-0.60563,11.66297,-1.43359,True,451.33041
51,Ken,98.14083,-0.36536,-97.79840,-1.28346,198.20916,-143.43167,Horses,0.21394,-1.50829,13.48721,-2.35421,True,441.80494
52,Barbie,101.47408,0.97546,-97.63776,-1.26759,201.53815,-147.23082,Mojodojo,-3.12267,0.27043,8.82043,-3.08386,True,458.55150
53,Ken,99.97815,0.18993,-107.17845,-1.27373,200.04493,-144.67214,Beach,1.12174,0.10692,11.50849,-1.47367,True,446.30153
54,Barbie,100.19130,-0.07118,-97.71424,-1.28862,200.26115,-147.75215,Casahouse,-1.76546,1.01873,10.60088,-4.25266,True,452.09940
55,Allan,99.49117,-0.54243,-99.17843,-1.25570,199.55428,-139.46675,Beach,1.37860,0.03865,11.64510,-2.70981,True,447.86662
56,Allan,100.57843,0.14809,-104.13497,-1.30993,200.65515,-152.59058,Casahouse,-0.12433,0.39469,10.87226,2.37995,True,450.82465
57,Ken,100.03127,1.18228,-100.43239,-1.27666,200.09797,-145.45810,Casahouse,1.64875,0.55577,12.09447,-2.07789,True,449.94014
58,Barbie,98.81966,0.22013,-100.89163,-1.27618,198.88602,-143.86112,Horses,-0.86722,0.76732,10.40318,-1.43006,True,443.65249
59,Allan,98.50630,0.37239,-101.08446,-1.31505,198.58386,-150.26365,Horses,-0.62691,-0.62343,11.65086,2.41714,True,441.98928
60,Allan,101.99265,1.22441,-104.54348,-1.25623,202.05452,-142.61929,Mojodojo,-0.23268,-0.16576,11.21645,0.72351,True,457.69149
61,Barbie,99.80849,0.44722,-105.55823,-1.26257,199.87166,-143.68392,Beach,1.23210,-1.28089,10.89906,-2.29788,True,446.26334
62,Barbie,99.80848,0.19813,-99.04033,-1.27319,199.87456,-143.14087,Beach,-0.14782,0.92607,12.47794,-2.49523,True,449.52224
63,Barbie,99.82736,0.00162,-99.05382,-1.24487,199.88521,-139.78791,Beach,0.97870,-0.95193,11.54700,-1.80199,True,449.60989
64,Barbie,100.81820,0.60467,-101.91129,-1.27346,200.88391,-143.27403,Casahouse,0.42249,-1.43852,10.96805,-3.56830,True,453.13537
65,Allan,99.98053,0.50875,-100.08548,-1.23753,200.03796,-138.33647,Beach,-0.64933,-0.03444,10.63393,0.88628,True,449.85993
66,Barbie,100.29598,0.83628,-107.70801,-1.28331,200.36479,-144.50645,Casahouse,2.37094,-1.74223,11.17373,-2.77936,True,447.62588
67,Barbie,100.26481,-0.35035,-99.39759,-1.29169,200.33568,-148.86600,Casahouse,0.70846,-2.57456,11.62356,-2.57346,True,451.62524
68,Barbie,99.83690,0.05114,-97.55041,-1.25096,199.89636,-138.86499,Beach,0.77051,0.92082,10.61893,-1.57785,True,450.40927
69,Allan,99.78221,-0.66016,-98.09819,-1.27782,199.85134,-143.08683,Beach,-0.56313,1.26148,11.44807,2.74390,True,449.86197
